"id","noon_type","noun_id","created_at","updated_at"
"1","irregular_nouns","4",NULL,NULL
"2","irregular_nouns","6",NULL,NULL
"3","irregular_nouns","28",NULL,NULL
"4","irregular_nouns","29",NULL,NULL
